method,rank_all_seen,first_step,later_steps,all_seen,old_new_gap
rank_extension_orth_factor_lam_50_kd_T2,1,80.0,65.53750000000001,68.43,14.462499999999991
rank_extension_orth_factor_lam_50_kd_T1,2,83.45,58.56249999999999,63.54,24.88750000000001
simple_avg_factor_orth_kd_T2,3,11.450000000000001,72.96249999999999,60.660000000000004,-61.51249999999999
simple_avg_delta_orth_kd_T2,4,56.05,61.162499999999994,60.14000000000001,-5.112499999999997
simple_avg_factor_orth_kd_T1,5,12.0,71.98750000000001,59.99,-59.98750000000001
simple_avg_factor_orth,6,1.4000000000000001,73.275,58.9,-71.875
simple_avg_delta_orth_kd_T1,7,59.050000000000004,58.537499999999994,58.64,0.51250000000001
simple_avg_delta_orth,8,33.7,63.0125,57.15,-29.3125
rank_extension_orth_delta_trace_lam_50_kd_T1,9,73.45,52.3625,56.58,21.087500000000006
rank_extension_kd_only_T1,10,71.45,51.1875,55.24,20.262500000000003
rank_extension_orth_delta_trace_lam_50_kd_T2,11,62.35000000000001,53.37499999999999,55.169999999999995,8.975000000000016
rank_extension_kd_only_T2,12,59.85,51.125,52.87,8.725000000000001
simple_avg,13,58.050000000000004,41.725,44.99,16.325000000000003
simple_avg_kd_T2,14,77.45,29.5875,39.160000000000004,47.862500000000004
rank_extension_orth_factor_lam_50,15,12.15,40.6625,34.96,-28.512500000000003
simple_avg_kd_T1,16,77.45,23.5875,34.36,53.862500000000004
rank_extension_orth_delta_trace_lam_50,17,2.75,25.587500000000002,21.02,-22.837500000000002
rank_extension,18,0.05,25.575,20.47,-25.525
