method,step_id,accuracy_restricted,accuracy_open,recency_bias_gap
rank_extension,1,50.05,0.8999999999999999,-49.14999999999999
rank_extension,2,64.14999999999999,1.25,-62.9
rank_extension,3,62.4,1.6,-60.8
rank_extension,4,79.55,18.9,-60.650000000000006
rank_extension,5,96.8,96.8,0.0
rank_extension_kd_only_T2,1,93.45,49.85,-43.6
rank_extension_kd_only_T2,2,94.45,36.25,-58.20000000000001
rank_extension_kd_only_T2,3,92.4,38.6,-53.800000000000004
rank_extension_kd_only_T2,4,93.2,66.3,-26.900000000000002
rank_extension_kd_only_T2,5,96.55,94.55,-2.0000000000000018
rank_extension_orth_factor_lam_50,1,80.2,2.1999999999999997,-78.0
rank_extension_orth_factor_lam_50,2,87.8,12.1,-75.7
rank_extension_orth_factor_lam_50,3,83.05,9.9,-73.15
rank_extension_orth_factor_lam_50,4,87.25,29.549999999999997,-57.70000000000001
rank_extension_orth_factor_lam_50,5,96.5,96.5,0.0
rank_extension_orth_factor_lam_50_kd_T2,1,93.8,60.3,-33.5
rank_extension_orth_factor_lam_50_kd_T2,2,95.0,45.300000000000004,-49.699999999999996
rank_extension_orth_factor_lam_50_kd_T2,3,93.4,47.25,-46.150000000000006
rank_extension_orth_factor_lam_50_kd_T2,4,93.25,70.95,-22.299999999999997
rank_extension_orth_factor_lam_50_kd_T2,5,97.1,93.85,-3.2499999999999973
simple_avg,1,93.60000000000001,82.0,-11.60000000000001
simple_avg,2,92.0,68.0,-24.0
simple_avg,3,89.3,68.65,-20.650000000000002
simple_avg,4,88.2,61.9,-26.3
simple_avg,5,94.95,79.9,-15.049999999999997
simple_avg_factor_orth,1,92.85,71.2,-21.650000000000002
simple_avg_factor_orth,2,94.39999999999999,78.85,-15.549999999999997
simple_avg_factor_orth,3,92.9,72.35000000000001,-20.55
simple_avg_factor_orth,4,91.55,70.19999999999999,-21.35
simple_avg_factor_orth,5,96.0,85.1,-10.899999999999999
simple_avg_factor_orth_kd_T2,1,93.4,77.75,-15.65000000000001
simple_avg_factor_orth_kd_T2,2,93.15,70.7,-22.450000000000003
simple_avg_factor_orth_kd_T2,3,92.2,66.2,-26.0
simple_avg_factor_orth_kd_T2,4,90.0,57.3,-32.70000000000001
simple_avg_factor_orth_kd_T2,5,95.75,78.95,-16.800000000000004
simple_avg_kd_T2,1,95.25,88.9,-6.35
simple_avg_kd_T2,2,92.9,68.5,-24.4
simple_avg_kd_T2,3,90.9,67.4,-23.5
simple_avg_kd_T2,4,86.35000000000001,60.35,-26.0
simple_avg_kd_T2,5,94.6,72.39999999999999,-22.199999999999996
