method,step_id,accuracy
rank_extension,1,0.8
rank_extension,2,1.8499999999999999
rank_extension,3,2.1999999999999997
rank_extension,4,7.3
rank_extension,5,96.95
rank_extension_kd_only_T2,1,59.550000000000004
rank_extension_kd_only_T2,2,36.449999999999996
rank_extension_kd_only_T2,3,39.85
rank_extension_kd_only_T2,4,64.2
rank_extension_kd_only_T2,5,94.19999999999999
rank_extension_orth_factor_lam_50,1,2.25
rank_extension_orth_factor_lam_50,2,12.3
rank_extension_orth_factor_lam_50,3,19.8
rank_extension_orth_factor_lam_50,4,38.25
rank_extension_orth_factor_lam_50,5,97.55
rank_extension_orth_factor_lam_50_kd_T2,1,71.7
rank_extension_orth_factor_lam_50_kd_T2,2,50.449999999999996
rank_extension_orth_factor_lam_50_kd_T2,3,53.0
rank_extension_orth_factor_lam_50_kd_T2,4,70.89999999999999
rank_extension_orth_factor_lam_50_kd_T2,5,92.25
simple_avg,1,82.0
simple_avg,2,68.0
simple_avg,3,68.65
simple_avg,4,61.9
simple_avg,5,79.9
simple_avg_factor_orth,1,71.2
simple_avg_factor_orth,2,78.85
simple_avg_factor_orth,3,72.35000000000001
simple_avg_factor_orth,4,70.19999999999999
simple_avg_factor_orth,5,85.1
simple_avg_factor_orth_kd_T2,1,80.45
simple_avg_factor_orth_kd_T2,2,68.7
simple_avg_factor_orth_kd_T2,3,64.5
simple_avg_factor_orth_kd_T2,4,55.2
simple_avg_factor_orth_kd_T2,5,76.8
simple_avg_kd_T2,1,88.9
simple_avg_kd_T2,2,68.5
simple_avg_kd_T2,3,67.4
simple_avg_kd_T2,4,60.35
simple_avg_kd_T2,5,72.39999999999999
