method_name,display_name,family,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_val_total_loss,final_val_total_loss,mean_train_kd_loss_raw,final_train_kd_loss_raw,mean_train_kd_loss_weighted,final_train_kd_loss_weighted,mean_train_factor_orth_loss_raw,final_train_factor_orth_loss_raw,mean_train_factor_orth_loss_weighted,final_train_factor_orth_loss_weighted,mean_train_delta_trace_loss_raw,final_train_delta_trace_loss_raw,mean_train_delta_trace_loss_weighted,final_train_delta_trace_loss_weighted,mean_kd_weighted_over_ce,mean_factor_orth_weighted_over_ce,mean_delta_trace_weighted_over_ce,logged_epoch_rows
simple_avg,SimpleAvg,simple_avg,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
simple_avg_kd_T1,SimpleAvg + KD T1,simple_avg,1.0412679849679323,0.744259433555603,0.7870035452276468,0.8095737299919128,1.7423923330779274,1.4623810037612914,,,0.7011243486711697,0.7181215692520142,0.7011243486711697,0.7181215692520142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7150330335092172,0.0,0.0,15
simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,,,0.6821636720850411,0.5603648077011109,0.6821636720850411,0.5603648077011109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0696147688967537,0.0,0.0,15
simple_avg_delta_orth,SimpleAvg + DeltaTrace,simple_avg,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001851696404912412,0.0002294760189226963,0.09258481998223107,0.011473800939209468,0.0,0.0,0.27136235694827326,15
simple_avg_delta_orth_kd_T1,SimpleAvg + DeltaTrace + KD T1,simple_avg,1.1364265258649908,0.7659718033790588,0.807871270059546,0.8683784174919128,1.9357802618842888,1.511894167327881,,,0.7091107877839848,0.7347345869064331,0.7091107877839848,0.7347345869064331,0.0,0.0,0.0,0.0,0.0018048589850281408,0.00022375557518264485,0.09024294914256553,0.011187778755459295,0.6980907065446035,0.0,0.04567754899811024,15
simple_avg_delta_orth_kd_T2,SimpleAvg + DeltaTrace + KD T2,simple_avg,0.9187073046105788,0.40038389077186587,0.5460709525336822,0.492639404296875,1.6990996947420598,0.9948117915153504,,,0.6892720176238798,0.5832489441871643,0.6892720176238798,0.5832489441871643,0.0,0.0,0.0,0.0,0.0018224074627244608,0.00022357916315388592,0.0911203728903988,0.011178958149501705,1.0369164643196058,0.0,0.06406085561107996,15
simple_avg_factor_orth,SimpleAvg + FactorOrth,simple_avg,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,0.0,0.0,0.0,0.0,8.691535787946801,0.00014769900763312763,434.5767888045859,0.007384950391645544,0.0,0.0,0.0,0.0,0.0,128.45560448579778,0.0,15
simple_avg_factor_orth_kd_T1,SimpleAvg + FactorOrth + KD T1,simple_avg,1.6372543899513152,0.96780980052948,1.2281399549235903,1.0651489238739014,434.11595589155246,1.7088645263671876,,,0.7950189587060524,0.7335635206222534,0.7950189587060524,0.7335635206222534,8.633673663973186,0.00014982415602407854,431.68368322530233,0.007491207809571642,0.0,0.0,0.0,0.0,0.5099686988666892,116.15790912209714,0.0,15
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,simple_avg,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,,,0.8198875023167925,0.6531710823059083,0.8198875023167925,0.6531710823059083,8.67143336480306,0.00015431014494533883,433.57166793895743,0.007715507239999715,0.0,0.0,0.0,0.0,0.6546595055366644,118.20263871038483,0.0,15
rank_extension,RankExt,rank_extension,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,1.2731841643396566,0.8541059905052185,0.9002019134193658,0.9509873056411743,1.885982767602277,1.6188969268798827,,,0.612798602360787,0.7647909372329712,0.612798602360787,0.7647909372329712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6011602822985548,0.0,0.0,15
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,,,0.7727198713541106,0.8148078930854797,0.7727198713541106,0.8148078930854797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993104322370439,0.0,0.0,15
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014183635885577176,4.3562041766142554e-05,0.007091817941216998,0.0021781020839658593,0.0,0.0,0.03486772452739091,15
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension,1.2919691334415093,0.8692027660369873,0.9170871187200149,0.9686591787338257,1.90870777961289,1.641809009552002,,,0.6129632128983707,0.7713552890777587,0.6129632128983707,0.7713552890777587,0.0,0.0,0.0,0.0,7.550865726004162e-05,2.501915036809237e-05,0.003775432859474935,0.0012509575155438143,0.5916883101312984,0.0,0.003219312702309071,15
rank_extension_orth_delta_trace_lam_50_kd_T2,RankExt + DeltaTrace + KD T2,rank_extension,1.123745628846082,0.555110277414322,0.7193168061882257,0.6429465322494506,1.903456013875484,1.3853771326065063,,,0.7754324064605823,0.8288599214553833,0.7754324064605823,0.8288599214553833,0.0,0.0,0.0,0.0,8.555958783387448e-05,2.8138702656320902e-05,0.0042779793878185415,0.0014069351325118988,0.9803027516626446,0.0,0.004892558460284523,15
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,0.0,0.0,0.0,0.0,0.4765698118760355,4.6534446791338266e-05,23.82849056964017,0.0023267223440809177,0.0,0.0,0.0,0.0,0.0,3.03001981837635,0.0,15
rank_extension_orth_factor_lam_50_kd_T1,RankExt + FactorOrth + KD T1,rank_extension,1.774232273744604,0.9554003287315369,0.9586937101672092,0.9961845693588257,6.838437891866988,1.705021459388733,,,0.5192475965044371,0.7480115239143371,0.5192475965044371,0.7480115239143371,0.09089916060311094,3.219217973855848e-05,4.5449580271217735,0.0016096089853614103,0.0,0.0,0.0,0.0,0.48312004944705933,0.6077548107373004,0.0,15
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,,,0.6682790700491954,0.8343507886886596,0.6682790700491954,0.8343507886886596,0.09044172746516259,3.733720357504353e-05,4.522086358792729,0.0018668601807788946,0.0,0.0,0.0,0.0,0.7674655881587586,0.6560621635760779,0.0,15
