method,first_step,later_steps,all_seen,gap_to_joint_first_step,delta_vs_simple_avg_all_seen
Simple AVG - Normal,0.62,0.612625,0.6141,0.30200000000000005,0.0
Simple AVG - Orth,0.6155,0.61525,0.6153,0.3065,0.0011999999999999789
DO-Merge - Normal,0.6285,0.67375,0.6647,0.2935000000000001,0.05059999999999998
Simple AVG - Replay,0.632,0.630125,0.6305,0.29000000000000004,0.01639999999999997
RankExt,0.617,0.448125,0.4819,0.30500000000000005,-0.13219999999999998
RankExt + Stitched,0.617,0.448125,0.4819,0.30500000000000005,-0.13219999999999998
Full FT,0.1745,0.37775,0.3371,0.7475,-0.27699999999999997
Full FT + Replay,0.8,0.786,0.7888,0.122,0.17469999999999997
Joint,0.922,0.914,0.9156,0.0,0.3015
