method,step,orth_loss_type,lambda_orth,ce_loss_mean,trace_loss_mean,qr_loss_mean,orth_loss_mean,use_ipc,lambda_ipc,ipc_loss_mean,ipc_protected_layers,total_loss_mean,logged_steps
rank_extension_orth_trace_lam_0,1,trace,0.0,0.553268654782502,3.8144287155069534e-06,0.0,3.8144287155069534e-06,False,0.0,0.0,0,0.553268654782502,2127
rank_extension_orth_trace_lam_0,2,trace,0.0,0.7416236449083813,6.042641329768607e-06,0.15959869964082418,6.042641329768607e-06,False,0.0,0.0,0,0.7416236449083813,2127
rank_extension_orth_trace_lam_0,3,trace,0.0,0.7960250338423012,9.619184359783298e-06,0.14949153061758255,9.619184359783298e-06,False,0.0,0.0,0,0.7960250338423012,2127
rank_extension_orth_trace_lam_0,4,trace,0.0,0.9618069248463998,6.972290361227864e-06,2.367426831900485,6.972290361227864e-06,False,0.0,0.0,0,0.9618069248463998,2127
rank_extension_orth_trace_lam_0,5,trace,0.0,0.7419185625537215,3.7650526647321924e-05,0.14068196747551853,3.7650526647321924e-05,False,0.0,0.0,0,0.7419185625537215,2127
rank_extension_orth_trace_lam_0.01,1,trace,0.01,0.5532538932872928,3.881198542126003e-06,0.0,3.881198542126003e-06,False,0.0,0.0,0,0.55325392805645,2127
rank_extension_orth_trace_lam_0.01,2,trace,0.01,0.7414786240614015,6.374920854758872e-06,0.1591605684099536,6.374920854758872e-06,False,0.0,0.0,0,0.7414786836476563,2127
rank_extension_orth_trace_lam_0.01,3,trace,0.01,0.7971771491431383,1.011231055478628e-05,0.14969633517898076,1.011231055478628e-05,False,0.0,0.0,0,0.7971772457441016,2127
rank_extension_orth_trace_lam_0.01,4,trace,0.01,0.9623278704505601,7.170160798644294e-06,2.368056723249872,7.170160798644294e-06,False,0.0,0.0,0,0.9623279375688369,2127
rank_extension_orth_trace_lam_0.01,5,trace,0.01,0.7400177644909858,8.487705203497701e-06,0.1421011834425942,8.487705203497701e-06,False,0.0,0.0,0,0.7400178419864817,2127
rank_extension_orth_qr_lorac_lam_0.01,1,qr_lorac,0.01,0.553268654782502,3.8144287155069534e-06,0.0,0.0,False,0.0,0.0,0,0.553268654782502,2127
rank_extension_orth_qr_lorac_lam_0.01,2,qr_lorac,0.01,0.7416333240357486,5.128423475023568e-06,0.10310908592274114,0.10310908592274114,False,0.0,0.0,0,0.7426644142287585,2127
rank_extension_orth_qr_lorac_lam_0.01,3,qr_lorac,0.01,0.7964116929560465,7.469636370055861e-06,0.1099891794725489,0.1099891794725489,False,0.0,0.0,0,0.797511582167799,2127
rank_extension_orth_qr_lorac_lam_0.01,4,qr_lorac,0.01,0.9611508776225783,1.6016460240156137e-05,2.10202321750657,2.10202321750657,False,0.0,0.0,0,0.9821711093481572,2127
rank_extension_orth_qr_lorac_lam_0.01,5,qr_lorac,0.01,0.7400972250766691,1.4337983491442162e-05,0.10944217165689486,0.10944217165689486,False,0.0,0.0,0,0.7411916454484205,2127
rank_extension_orth_combined_lam_0.01_ipc_1e-05,1,combined,0.01,0.5531580920616225,3.754616276687563e-06,0.0,1.8773081383437815e-06,True,1e-05,0.0,0,0.5531581089734247,2127
rank_extension_orth_combined_lam_0.01_ipc_1e-05,2,combined,0.01,0.7421172513163701,4.9540602044922775e-06,0.11887801504423767,0.05944148464050437,True,1e-05,0.4876426949677835,3,0.7427165425887404,2127
rank_extension_orth_combined_lam_0.01_ipc_1e-05,3,combined,0.01,0.7968700857974018,9.112422911228044e-06,0.12156255446202777,0.06078583359206905,True,1e-05,0.3144257369499615,4,0.7974810862250812,2127
rank_extension_orth_combined_lam_0.01_ipc_1e-05,4,combined,0.01,0.9655739379478386,7.167268698280784e-06,2.1601980831009935,1.0801026264602274,True,1e-05,0.2866436562994031,4,0.9763778273644977,2127
rank_extension_orth_combined_lam_0.01_ipc_1e-05,5,combined,0.01,0.7488144343034954,4.996372589783133e-06,0.1197476683996292,0.059876332415918485,True,1e-05,0.3177624435838048,4,0.7494163749985604,2127
